AREA DEM REP OTH
AREA DEM REP OTH
AK 62807 131199 66169
AL 411687 944845 45823
AR 316698 568975 16610
AZ 1286064 1268914 0
CA 6061021 4139521 0
CO 1468476 983034 57247
CT 710488 546067 12360
FL 3105469 4613783 50857
GA 1811471 2110328 28113
HI 259901 151258 0
IA 482935 709160 28997
ID 120158 358585 113800
IL 2192864 1724085 112152
KS 492248 471370 30947
MA 1545433 848488 38497
MD 1244817 637669 60188
ME 373372 286440 13578
MI 2427985 1958311 70923
MN 1312313 1119906 77340
NE 238056 394892 26094
NH 256774 352987 7875
NM 370073 324651 17383
NV 477349 491314 39044
NY 3030712 2703401 0
OH 1497966 2528018 0
OK 481396 638910 31856
OR 896972 832153 179109
PA 3017200 2233820 96155
RI 206478 138652 10411
SC 692691 988501 20826
SD 123132 217008 9981
TN 572153 1128097 37204
TX 3539152 4426655 110159
VT 67946 201113 13028
WI 1358664 1268204 26987
WY 30676 143676 8154
