AREA DEM REP OTH
AREA DEM REP OTH
WY 43648.00442989999 122801.06366670998 0
WI 1241894.3164195002 1216001.4080335 0
VT 78154.37916586 144096.75719996 13943.170720008999
TX 3249900.5014520003 3918206.1661489997 151402.7468382
TN 580048.7008544 1054147.3943483 234690.71790859997
SD 120599.29528641002 180864.72085608 0
SC 717661.5449381 898540.3327534001 0
RI 186316.40827584 143151.43330536 14635.765300871997
PA 2551426.928064 2073482.4590592 86762.37729319998
OR 751432.4729085 712692.7912653 0
OK 528993.06397 627301.898211 40595.0138812
OH 1610296.1501961 2427236.8498039003 0
NY 3169379.1244192002 2656132.8755807998 0
NV 474165.01395647996 482092.89282566996 24563.153985006
NM 332924.72756381996 294880.83194945997 0
NH 236059.07735456995 317646.97292403 12591.049721399997
NE 275449.94043888 362835.40188990004 0
MN 1159150.747314 965164.4023749 90365.87245791
MI 1914125.4386526002 1683033.316482 117187.4305827
ME 306385.5906324 261211.68685320005 0
MD 1107547.9113517 662841.0728188 60337.97921496
MA 1372058.5633662 834546.6207213001 0
KS 506225.97305219003 461081.67332865996 28505.544079687
IL 2489300.1247332 1783038.3420252 0
ID 153037.47722184003 346012.03024056 39341.27638587601
IA 492238.8444672 696499.375872 0
HI 246755.33157872 144964.06842128 0
GA 1521732.6758412002 1773712.9806821998 0
FL 3285554.642872 4166482.7026453 143144.97091623
CT 714500.1981482 541039.3037374 0
CO 1217180.1767058 934772.1779303999 69958.68980202
CA 6660461.5 4339538.5 0
AZ 1111876.9154133 1150612.0845867 0
AR 337607.99754211004 510755.90191272995 0
AL 465738.1069533 934146.0243702 0
AK 75806.11962747999 108754.26070817 0
