AREA DEM REP OTH
AREA DEM REP OTH
WY 43351.640962239995 123097.42713437001 0
WI 1223811.722217 1234084.002236 0
VT 77606.64458416 144644.49178166 13943.170720008999
TX 3150229.2698800005 4017878.1296719997 151402.7468382
TN 574642.7583182 1059553.5237732 234690.71790859997
SD 118512.71865711002 182951.29748538003 0
SC 678467.8974074 937734.1447898 0
RI 189854.1717978 139613.63537304 14635.765300871997
PA 2544113.9419528 2080795.4451704002 86762.37729319998
OR 748243.9480046999 715881.1471242 0
OK 519142.180514 637152.781667 40595.0138812
OH 1585892.8969907998 2451640.1030092 0
NY 3190589.23106 2634922.76894 0
NV 470066.3587438 486191.64612045995 24563.153985006
NM 331778.37724944 296027.18226384 0
NH 226990.39559517 326715.65468343 12591.049721399997
NE 263581.60876552 374703.73356326 0
MN 1160815.9659579 963499.1837309999 90365.87245791
MI 1905687.1874098 1691471.5677247997 117187.4305827
ME 304295.81149326003 263301.46599234 0
MD 1093768.9445862 676620.222657 60337.97921496
MA 1355901.3933573002 850703.5655463001 0
KS 493213.78024242 474093.96571976 28505.544079687
IL 2526604.7174871 1745734.1855261999 0
ID 152066.16637956002 346983.34108284005 39341.27638587601
IA 479005.6825344 709732.5378048 0
HI 246450.61305746 145268.78694254003 0
GA 1510380.8844363 1785064.7720871 0
FL 3215410.8493121006 4236627.255723501 143144.97091623
CT 724876.7700392001 530662.7318464 0
CO 1253443.5417546001 898508.5906905 69958.68980202
CA 6678993.2 4321006.8 0
AZ 1105824.5310894 1156664.4689106 0
AR 331829.13668824 516534.76276659995 0
AL 462989.5350615 936894.4520103 0
AK 75997.87356887 108581.98562651001 0
