AREA DEM REP OTH
AREA DEM REP OTH
WY 46756.638345299994 119692.42975130999 0
WI 1228818.1932065 1229077.2818830002 0
VT 65725.33909183 156525.82089342 13943.170720008999
TX 3269865.928879 3898241.4706729995 151402.7468382
TN 597155.5580089 1037040.7240825001 234690.71790859997
SD 126358.33299273 175105.68314976 0
SC 736934.8682444 879267.1739527999 0
RI 186460.79414639997 143007.04743479998 14635.765300871997
PA 2553068.4745888 2071840.9125344001 86762.37729319998
OR 749875.0622448 714250.0328841001 0
OK 546886.449781 609408.632089 40595.0138812
OH 1606213.3968265 2431319.6031735 0
NY 3154021.3271336 2671490.6728664 0
NV 469711.69383404 486546.21294810995 24563.153985006
NM 330861.37398156 296944.1213787 0
NH 233567.65326311998 320138.39701548 12591.049721399997
NE 299340.55558784003 338944.85175437003 0
MN 1147748.0192493 976567.1304396001 90365.87245791
MI 1900749.707272 1696408.676428 117187.4305827
ME 303755.09495694004 263842.24039644003 0
MD 1139820.8822712 630568.284972 60337.97921496
MA 1370207.7768921 836397.1820115 0
KS 514895.12531667 452412.62064551 28505.544079687
IL 2474166.8785071 1798171.5882513002 0
ID 134948.56928436 364100.93817804003 39341.27638587601
IA 504010.00903679995 684728.2113024 0
HI 236674.55033554003 155044.84966446002 0
GA 1524855.8298932998 1770589.8266301 0
FL 3293591.8655226002 4158446.9990312997 143144.97091623
CT 719027.0759168001 536512.4259688 0
CO 1218375.7870149 933576.5676212999 69958.68980202
CA 6616171.1 4383828.9 0
AZ 1111628.0416233 1150860.9583767 0
AR 347131.87535533996 501232.0240995 0
AL 467652.32701229997 932231.6600594999 0
AK 72553.64285994 111676.16747936 0
