AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 NA 96469 0 0 0 0 0
AL-2 57568 115302 0 0 0 0 0
AL-3 115127 27769 0 0 0 0 0
AL-4 132881 38588 0 0 0 0 0
AL-5 125406 33528 0 0 0 0 0
AL-6 139608 51924 444 0 0 0 0
AL-7 108126 72777 0 0 0 0 0
AK-1 74053 101799 4425 0 0 0 0
AZ-1 51163 127370 0 0 0 0 0
AZ-2 77239 24522 3646 0 0 0 0
AZ-3 NA 146462 0 0 0 0 0
AZ-4 66894 121939 0 0 0 0 0
AZ-5 64848 119647 0 0 0 0 0
AR-1 105782 58937 0 0 0 0 0
AR-2 128822 41247 77 0 0 0 0
AR-3 36729 145127 0 0 0 0 0
AR-4 115339 22980 10605 0 0 0 0
CA-1 138174 54436 12149 0 0 0 0
CA-2 74602 109758 4054 0 0 0 0
CA-3 158709 50265 0 0 0 0 0
CA-4 128364 54596 0 0 0 0 0
CA-5 122688 36039 4487 0 0 0 0
CA-6 142946 50606 0 0 0 0 0
CA-7 124174 62379 0 0 0 0 0
CA-8 121790 76850 4295 0 0 0 0
CA-9 113490 49300 0 0 0 0 0
CA-10 84240 31826 3498 0 0 0 0
CA-11 112380 39315 0 0 0 0 0
CA-12 69564 111252 6227 0 0 0 0
CA-13 107696 46754 0 0 0 0 0
CA-14 53597 146906 4658 0 0 0 0
CA-15 93600 35793 2382 0 0 0 0
CA-16 128151 31386 3961 0 0 0 0
CA-17 58682 88787 0 0 0 0 0
CA-18 101480 40907 0 0 0 0 0
CA-19 NA 122578 2341 0 0 0 0
CA-20 49027 129989 0 0 0 0 0
CA-21 54497 132090 6504 0 0 0 0
CA-22 44036 141096 6044 0 0 0 0
CA-23 121468 58746 4540 0 0 0 0
CA-24 103914 NA 14259 0 0 0 0
CA-25 62692 17558 2163 0 0 0 0
CA-26 98091 52662 0 0 0 0 0
CA-27 110403 59410 3507 0 0 0 0
CA-28 92635 25858 2837 0 0 0 0
CA-29 78132 13432 851 0 0 0 0
CA-30 59369 33705 1911 0 0 0 0
CA-31 77126 30322 2333 0 0 0 0
