AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 67507 108102 3078 0 0 0 0
AL-2 55495 129233 3237 0 0 0 0
AL-3 87351 91169 2703 0 0 0 0
AL-4 NA 139705 21396 0 0 0 0
AL-5 143029 48226 3916 0 0 0 0
AL-6 NA 178171 20175 0 0 0 0
AL-7 153735 NA 12574 0 0 0 0
AK-1 39357 169685 18683 0 0 0 0
AZ-1 79730 85967 8990 0 0 0 0
AZ-2 61217 100359 5926 0 0 0 0
AZ-3 47173 104847 3731 0 0 0 0
AZ-4 44517 18381 3167 0 0 0 0
AZ-5 61559 103870 4383 0 0 0 0
AZ-6 49355 103094 3888 0 0 0 0
AZ-7 61256 38474 4088 0 0 0 0
AZ-8 67328 126930 6170 0 0 0 0
AR-1 129701 64357 0 0 0 0 0
AR-2 142752 NA 10874 0 0 0 0
AR-3 NA 141478 1577 0 0 0 0
AR-4 119633 77904 0 0 0 0 0
CA-1 118669 60013 6534 0 0 0 0
CA-2 52455 117747 8783 0 0 0 0
CA-3 67136 121732 6050 0 0 0 0
CA-4 72860 147997 7649 0 0 0 0
CA-5 92726 34749 4103 0 0 0 0
CA-6 139750 62052 7761 0 0 0 0
CA-7 97849 36584 3943 0 0 0 0
CA-8 127684 20063 12694 0 0 0 0
CA-9 135893 25333 5691 0 0 0 0
CA-10 126390 NA 40807 0 0 0 0
CA-11 69035 104921 0 0 0 0 0
CA-12 105597 38381 11006 0 0 0 0
CA-13 86495 26852 8376 0 0 0 0
CA-14 117055 48346 6277 0 0 0 0
CA-15 87482 41251 4289 0 0 0 0
CA-16 72370 32182 3434 0 0 0 0
CA-17 101632 40334 7330 0 0 0 0
CA-18 56181 47528 5884 0 0 0 0
CA-19 47403 106209 4190 0 0 0 0
CA-20 47627 25628 1515 0 0 0 0
CA-21 32584 87544 4070 0 0 0 0
CA-22 38988 120473 4824 0 0 0 0
CA-23 95752 62604 3866 0 0 0 0
CA-24 58755 120585 5666 0 0 0 0
CA-25 38674 80775 4887 0 0 0 0
CA-26 50081 95360 4089 0 0 0 0
CA-27 79815 48996 0 0 0 0 0
CA-28 73771 23926 5629 0 0 0 0
CA-29 76036 40616 4889 0 0 0 0
CA-30 130604 54989 0 0 0 0 0
CA-31 54569 12674 0 0 0 0 0
CA-32 58530 23366 3183 0 0 0 0
CA-33 97779 16699 3971 0 0 0 0
CA-34 48734 17090 0 0 0 0 0
CA-35 72401 18094 2912 0 0 0 0
CA-36 88198 50328 5225 0 0 0 0
CA-37 63445 20154 3413 0 0 0 0
