AREA DEM REP OTH
AREA DEM REP OTH
AL-1 116949 211825 301
AL-2 105286 197996 287
AL-3 104595 217384 255
AL-4 56237 261553 239
AL-5 0 253094 11066
AL-6 0 274160 8101
AL-7 225742 0 6589
AK-1 159856 192126 1183
AZ-1 188469 176709 0
AZ-2 209945 170975 134
AZ-3 174243 95594 0
AZ-4 120503 278007 113
AZ-5 183171 262486 0
AZ-6 199644 217783 0
AZ-7 165452 50229 51
AZ-8 170816 251633 18
AZ-9 217094 135180 0
AR-1 0 237596 0
AR-2 148410 184093 0
AR-3 106325 214960 12977
AR-4 75750 191617 7668
CA-1 154073 204190 0
CA-2 294435 94320 0
CA-3 176036 145941 0
CA-4 194731 247291 0
CA-5 271233 85227 0
CA-6 229648 83466 0
CA-7 217416 166549 0
CA-8 124400 158711 0
CA-9 174252 128358 0
CA-10 166865 135629 0
CA-11 271063 100293 0
CA-12 362950 0 0
CA-13 327863 34955 0
CA-14 278227 72684 0
CA-15 242991 99710 0
CA-16 128690 88039 0
CA-17 212137 85199 0
CA-18 344127 0 0
CA-19 224385 88642 0
CA-20 236896 71658 0
CA-21 84406 85928 0
CA-22 144251 170888 0
CA-23 115896 190222 0
CA-24 212564 149781 0
CA-25 169305 169638 0
CA-26 208856 135877 0
CA-27 221411 95907 0
CA-28 244271 91928 0
CA-29 210944 0 0
CA-30 240038 105426 0
CA-31 175315 110735 0
CA-32 172942 86818 0
CA-33 257094 123334 0
CA-34 205346 0 0
CA-35 169405 74941 0
CA-36 185051 121640 0
CA-37 254916 41705 0
CA-38 256206 0 0
CA-39 169837 173946 0
CA-40 135572 50809 0
CA-41 167938 94289 0
CA-42 157667 210074 0
CA-43 199210 78688 0
CA-44 206036 0 0
CA-45 221843 193096 0
CA-46 157803 71716 0
CA-47 197028 114371 0
CA-48 193362 201738 0
CA-49 205349 181157 0
CA-50 166859 195510 0
CA-51 165596 76841 0
CA-52 244145 152350 0
CA-53 334858 0 0
CO-1 331621 105955 12714
CO-2 316925 182547 16191
CO-3 194122 220634 14563
CO-4 173945 285606 11556
CO-5 161600 249013 21794
CO-6 250314 175192 12967
CO-7 250525 159301 13865
CT-1 222668 122111 4458
CT-2 217982 140340 8859
CT-3 203265 137596 5240
CT-4 223832 130627 5666
CT-5 192484 151988 5052
DE-1 281382 196392 10496
FL-1 149172 283352 6038
FL-2 0 305337 6662
FL-3 167326 223075 0
FL-4 196423 308497 20
FL-5 219463 117510 0
FL-6 172305 265393 158
FL-7 224946 175750 5753
FL-8 177695 282093 0
FL-9 240724 188889 25
FL-10 239434 136889 74
FL-11 158094 316979 0
FL-12 168194 284941 0
FL-13 215405 190713 7
FL-14 224240 147896 0
FL-15 174297 216374 0
FL-16 215683 269001 0
FL-17 140487 266514 5396
FL-18 186674 253286 9760
FL-19 172146 272440 3
FL-20 253661 68748 0
FL-21 237925 157612 7556
FL-22 235764 166553 0
FL-23 221239 158874 83
FL-24 218825 59084 11729
FL-25 0 1 0
FL-26 165407 177223 0
FL-27 166758 176141 76
GA-1 135238 189457 0
GA-2 161397 111620 0
GA-3 129792 241526 0
GA-4 278906 69393 0
GA-5 301857 52646 0
GA-6 216775 180329 0
GA-7 190900 180564 0
GA-8 109264 198701 0
GA-9 79797 292750 0
GA-10 142636 235810 0
GA-11 160623 245259 0
GA-12 129061 181038 0
GA-13 279045 81476 0
GA-14 77798 229827 0
HI-1 183053 71094 0
HI-2 171398 83928 16524
ID-1 131380 310736 16453
ID-2 124151 250669 16513
IL-1 239943 85027 153
IL-2 234896 63142 0
IL-3 172997 133851 0
IL-4 187219 35518 0
IL-5 255661 96200 9410
IL-6 213777 183891 7079
IL-7 249383 41390 19355
IL-8 186251 0 68327
IL-9 262045 107125 0
IL-10 202402 114442 30
IL-11 194557 112807 13
IL-12 127577 194839 0
IL-13 151648 181373 0
IL-14 203209 197835 8
IL-15 88559 244947 0
IL-16 119313 218839 7
IL-17 156011 143863 21
IL-18 110039 261840 0
IN-1 185180 132247 9521
IN-2 114967 183601 0
IN-3 104762 220989 0
IN-4 112984 225531 0
IN-5 191226 208212 16788
IN-6 91103 225318 11791
IN-7 176422 106146 0
IN-8 95691 214643 10283
IN-9 124826 218606 15601
IA-1 201347 212088 434
IA-2 196958 196964 703
IA-3 219205 212997 15745
IA-4 144761 237369 892
KS-1 84393 208229 0
KS-2 136650 185464 14201
KS-3 220049 178773 11596
KS-4 116166 203432 0
KY-1 82141 246329 0
KY-2 94643 255735 10021
KY-3 230672 137425 0
KY-4 125896 256613 0
KY-5 47056 250914 0
KY-6 155011 216948 6491
LA-1 94730 270330 9309
LA-2 235320 63140 18522
LA-3 100275 230480 9365
LA-4 101970 204608 0
LA-5 99566 209990 0
LA-6 95541 265706 12749
ME-1 271004 165008 15
ME-2 197974 175228 33
MD-1 143877 250901 746
MD-2 224836 106355 835
MD-3 260358 112117 731
MD-4 282119 71671 739
MD-5 274210 123525 1104
MD-6 215540 143599 7295
MD-7 237084 92825 1089
MD-8 274716 127157 741
MA-1 275376 0 9956
MA-2 249854 132220 378
MA-3 286896 0 6643
MA-4 251102 160474 1247
MA-5 294427 101351 405
MA-6 286377 150695 605
MA-7 267362 0 41288
MA-8 310940 0 74461
MA-9 260262 154261 10078
MI-1 153328 256581 6310
MI-2 154122 238711 10414
MI-3 189769 213649 1
MI-4 120802 242621 9822
MI-5 196599 150772 13661
MI-6 152085 211496 15399
MI-7 159743 227524 0
MI-8 217922 202525 7897
MI-9 230318 153296 15503
MI-10 138179 271607 0
MI-11 226128 215405 8940
MI-12 254957 117719 11147
MI-13 223205 53311 9369
MI-14 271370 62664 8269
MN-1 167889 179229 21731
MN-2 204533 194958 25021
MN-3 246661 196618 313
MN-4 245819 112733 30573
MN-5 255920 102878 39427
MN-6 140851 270901 552
MN-7 144838 194062 24564
MN-8 147854 223427 22425
MS-1 104008 228787 0
MS-2 196331 101037 0
MS-3 120782 221064 0
MS-4 0 255971 0
MO-1 249087 59940 7144
MO-2 204540 233157 11651
MO-3 116095 282866 8387
MO-4 107635 245247 9954
MO-5 207180 135934 9316
MO-6 118926 258709 8144
MO-7 98111 254318 16854
MO-8 70561 253811 5854
MT-1 262340 339169 0
NE-1 119622 189006 8938
NE-2 155706 171071 10185
NE-3 50690 225157 10923
NV-1 137868 74490 10855
NV-2 155780 216078 10815
NV-3 203421 190975 22856
NV-4 168457 152284 11728
NH-1 205606 185159 9896
NH-2 207863 168491 9240
NJ-1 240567 144463 0
NJ-2 173849 195526 7172
NJ-3 229840 196327 5595
NJ-4 162420 254103 7845
NJ-5 225175 193333 5128
NJ-6 199648 126760 0
NJ-7 219629 214318 0
NJ-8 176758 58686 3329
NJ-9 203674 98629 7239
NJ-10 241522 40298 8189
NJ-11 235163 206013 0
NJ-12 230883 114591 6251
NM-1 186953 134337 0
NM-2 122546 142283 117
NM-3 186282 131166 0
NY-1 169294 205715 99
NY-2 154246 177379 3538
NY-3 208555 161931 2295
NY-4 199762 153007 3143
NY-5 229125 0 1554
NY-6 158862 74829 223
NY-7 191073 32520 1860
NY-8 234933 42007 229
NY-9 230221 43950 3077
NY-10 206310 66889 3777
NY-11 137198 155608 508
NY-12 265172 53061 4788
NY-13 231841 19829 3700
NY-14 152661 58440 2422
NY-15 169533 21221 283
NY-16 218471 41085 414
NY-17 197353 117307 18192
NY-18 187169 145098 3278
NY-19 192100 151475 9196
NY-20 219705 139446 191
NY-21 131992 188649 138
NY-22 155989 156098 6520
NY-23 129014 181060 3768
NY-24 147638 182567 13519
NY-25 206396 136198 5504
NY-26 223276 91687 4642
NY-27 149559 229044 5005
NC-1 188870 159748 0
NC-2 311887 172544 10914
NC-3 132752 229800 0
NC-4 332421 161298 0
NC-5 119846 257843 7555
NC-6 253531 153598 0
NC-7 179045 272443 720
NC-8 177781 202774 0
NC-9 179463 224661 0
NC-10 128189 284095 0
NC-11 190609 245351 14185
NC-12 341457 0 0
NC-13 124684 267181 0
ND-1 97970 245229 12399
OH-1 172022 199560 13703
OH-2 146781 230430 37
OH-3 227420 93569 103
OH-4 101897 235875 9854
OH-5 120962 257019 0
OH-6 85661 249130 0
OH-7 102271 236607 11671
OH-8 110766 246277 114
OH-9 190328 111385 39
OH-10 151976 212972 0
OH-11 242098 60323 0
OH-12 182847 241790 13035
OH-13 173631 148648 8522
OH-14 158586 238864 0
OH-15 140183 243103 75
OH-16 144071 247335 0
OK-1 109641 213700 12130
OK-2 63472 216511 8544
OK-3 66501 242677 0
OK-4 90459 213096 10803
OK-5 145658 158191 0
OR-1 297071 161928 900
OR-2 168881 273835 14717
OR-3 343574 110570 16362
OR-4 240950 216081 10674
OR-5 234863 204372 13411
PA-1 191875 249804 0
PA-2 198268 75083 0
PA-3 341922 33728 0
PA-4 264638 179926 0
PA-5 256021 139686 0
PA-6 226440 177526 0
PA-7 197907 181744 0
PA-8 178442 166229 0
PA-9 118315 233076 0
PA-10 182938 208896 0
PA-11 141325 241915 0
PA-12 99220 241069 0
PA-13 96722 267910 0
PA-14 131930 241760 0
PA-15 92158 255064 0
PA-16 144001 210146 0
PA-17 222253 212284 0
PA-18 266084 118163 0
RI-1 158550 0 65310
RI-2 154086 109894 577
SC-1 210627 216042 442
SC-2 155118 202715 6382
SC-3 95712 237544 308
SC-4 133023 222126 5401
SC-5 145979 220006 273
SC-6 197477 89258 2918
SC-7 138863 224993 235
SD-1 0 321984 75748
TN-1 68617 228181 8625
TN-2 109684 238907 4606
TN-3 97687 215571 7041
TN-4 111908 223802 0
TN-5 252155 0 14
