AREA DEM REP OTH
AREA DEM REP OTH
AK-1 116,322 120,462 4,915
AL-1  139,854 27,372
AL-2 57,800 137,193 3,471
AL-3 47,770 135,448 6,933
AL-4 26,628 164,371 4,374
AL-5 62,466 141,988 7,108
AL-6  154,058 29,927
AL-7 123,060 67,353 3,286
AR-1 52,016 151,004 
AR-2 86,553 147,700 11,564
AR-3 73,248 141,985 7,626
AR-4 56,644 153,671 6,087
AZ-1 178,544 181,673 
AZ-2 148,499 173,592 
AZ-3 108,055 32,319 
AZ-4 148,302 115,886 
AZ-5 119,827 181,837 18,758
AZ-6 171,298 176,306 
AZ-7 125,496 68,833 
AZ-8  196,350 
AZ-9  191,843 
CA-1 84,421 138,521 
CA-2 159,219 53,787 
CA-3 92,803 101,732 
CA-4 132,830 64,066 
CA-5 96,883 155,116 
CA-6 68,907 52,943 
CA-7 76,376 36,686 
CA-8 143,600 46,174 
CA-9 75,690 59,457 
CA-10 193,047  51,355
CA-11 215,284 41,258 
CA-12 145,089 16,409 
CA-13 59,121 60,084 
CA-14 94,922 43,604 
CA-15 175,604  
CA-16 230,231  
CA-17 120,099 49,218 
CA-18 95,300 49,098 
CA-19 183,519 80,915 
CA-20 54,085 112,458 
CA-21 57,513 48,491 
CA-22 33,672 37,637 
CA-23 54,233 86,275 
CA-24 134,712 84,967 
CA-25 79,157 57,209 
CA-26 101,578 83,601 
CA-27 75,704 89,550 
CA-28 121,573 64,478 
CA-29 96,245  
CA-30 174,068  
CA-31 71,620 51,531 
CA-32 141,395 65,261 
CA-33 61,018 46,072 
CA-34 94,705  
CA-35 56,978 44,739 
CA-36 158,123 72,622 
CA-37 104,097  
CA-38 79,228 60,762 
CA-39 66,921 48,916 
CA-40 113,193 151,409 
CA-41 96,313 102,599 
CA-42 77,251 38,374 
CA-43 73,277 22,753 
CA-44 81,540 33,228 
CA-45 94,089 106,781 
CA-46 73,638 46,141 
CA-47 129,463 122,543 
CA-48 94,146 143,435 
CA-49 149,860 135,229 
CA-50 166,842 99,001 
CA-51 142,686 88,155 
CA-52 99,254 49,815 
CO-1 226,192 49,460 6,147
CO-2 240,830 96,848 6,914
CO-3 160,918 162,040 
CO-4 128,152 213,198 8,724
CO-5 111,212 154,914 10,385
CO-6 169,873 104,953 5,520
CO-7 203,688 149,620 7,932
CO-8 112,258 110,567 9,095
CT-1 149,438 91,486 2,849
CT-2 164,506 113,724 4,550
CT-3 137,924 98,704 6,023
CT-4 140,262 95,822 
CT-5 127,819 125,793 6,512
DE-1 178,416 138,201 5,032
FL-1 93,416 197,320 
FL-2 121,120 180,220 
FL-3 103,342 178,091 3,410
FL-4 108,358 165,678 5
FL-5 0 1 
FL-6  226,536 74,189
FL-7 126,052 177,957 
FL-8 120,050 222,119 
FL-9 108,522 93,815 
FL-10 117,929 78,838 3,111
FL-11 115,629 205,989 4,967
