AREA DEM REP OTH4 OTH5 OTH6 OTH7 OTH8 OTH9 OTH10 OTH11 OTH12 OTH13 OTH14 OTH15 OTH16 OTH17 OTH18 OTH19 OTH20 OTH21 OTH22 OTH23 OTH24
AREA DEM REP OTH4 OTH5 OTH6 OTH7 OTH8 OTH9 OTH10 OTH11 OTH12 OTH13 OTH14 OTH15 OTH16 OTH17 OTH18 OTH19 OTH20 OTH21 OTH22 OTH23 OTH24
AK-1 48.61 51.39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-1 34.16 65.84 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-2 42.14 57.86 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-3 37.97 62.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-4 23.03 76.97 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-5 36.56 63.44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-6 32.33 67.67 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-7 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AR-1 33.45 62.71 NA NA NA NA NA NA NA NA NA NA NA 3.84 NA NA NA NA NA NA NA NA NA
AR-2 45.23 51.99 NA NA NA NA NA NA NA NA NA NA NA 2.79 NA NA NA NA NA NA NA NA NA
AR-3 35.11 61.45 NA NA NA NA NA NA NA NA NA NA NA 3.44 NA NA NA NA NA NA NA NA NA
AR-4 34.03 62.05 NA NA NA NA NA NA NA NA NA NA NA 3.92 NA NA NA NA NA NA NA NA NA
AZ-1 54.18 45.82 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-2 55.68 44.32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-3 69.52 30.48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-4 33.45 62.6 NA NA NA 3.94 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-5 36.19 63.81 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-6 45.28 54.72 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-7 86.75 NA NA NA NA 13.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-8 47.71 52.29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-9 60.6 39.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-1 46.98 53.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-10 52.46 47.54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-11 78.55 21.45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-12 90.84 9.16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-13 90.25 NA NA NA NA 9.75 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-14 83.57 16.43 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-15 77.48 22.52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
