AREA DEM REP OTH
AREA DEM REP OTH
WY-1 47739.023904630005 133609.01391404998 11659.256391101
WV-2 64385.87524083999 127474.52475915998 0
WV-1 52911.11507976 136793.53723392 0
WI-8 0 217272.52715703004 53861.372842970006
WI-7 109345.8368135 209089.2631865 0
WI-6 0 243400.8 0
WI-5 117917.59375667 234676.10624333002 0
WI-4 168520.67907932 60040.66468424 0
WI-3 140086.56444415997 163606.23555584002 0
WI-2 219446.20805625 104420.94233184001 0
WI-1 119035.30926210001 168440.27617318 0
WA-9 153317.56535796 65791.63464204001 0
WA-8 156680.10048019997 146354.4995198 0
WA-7 266277.6963595 46933.8036405 0
WA-6 166384.90660797 120064.39339203 0
WA-5 115308.10000196999 170190.59999803003 0
WA-4 60386.13323203999 122019.66676796 0
WA-3 117516.09741906001 147484.60258094 0
WA-2 182855.43487068 109379.36512932 0
WA-1 169934.20035350003 107314.29964649999 0
WA-10 141207.49740105 95660.80259894999 0
VT-1 160058.26971680002 80216.02671420001 0
VA-9 59042.35520631001 178376.74479368998 0
VA-8 167811.48524448 60140.15106264 0
VA-7 125820.98369210999 123470.31630789001 0
VA-6 81783.84509776 165330.55490224 0
VA-5 111759.04677332999 159171.25322667 0
VA-4 148279.06068224 85217.73931775999 0
VA-3 129284.53045734 67930.16954266 0
VA-2 121380.91078677999 125600.48921321999 0
VA-1 111792.7524021 173329.00687305 0
VA-11 174342.41083548003 84540.48916452 0
VA-10 142067.87185810003 122181.02814190001 0
UT-4 78514.76040340001 143178.5358363 0
UT-3 79017.7721665 158019.5904582 27099.663789000002
UT-2 79584.94464648 140459.43863770002 21538.521547477998
UT-1 82438.17084756 168993.22915243998 0
TX-9 102495.96457373 34793.135426270004 0
TX-8 58626.192800200006 108473.26026948002 0
TX-7 99285.08856539 69395.81143461 0
TX-6 0 117226.4 0
TX-5 56689.50301740001 110205.90918792 0
TX-4 58385.95929432 127061.03346195 0
TX-38 78615.91292015002 140945.2609609 0
TX-37 142580.08604631003 60880.62250556001 0
TX-36 46318.983569669996 118586.91643032998 0
TX-35 94975.34617592998 41767.95382406999 0
TX-34 45959.1453621 44661.962459214 0
TX-33 68554.78596619601 26646.320971552 0
TX-32 93778.55309529002 61808.54690471001 0
TX-3 75383.64388256 126726.13789152 0
TX-31 0 151364.4 0
TX-30 107097.25195813 36547.681717750005 6185.173815625
TX-29 62156.442871422005 27439.127128578002 0
TX-28 63994.0774482 59147.9225518 0
TX-27 41205.10895558 88089.59104442 0
TX-26 0 147100.8739948 0
TX-25 0 142958.5 0
TX-24 94135.64634674 151281.65365326 0
