AREA DEM REP OTH4 OTH5 OTH6 OTH7 OTH8 OTH9 OTH10 OTH11 OTH12 OTH13 OTH14 OTH15 OTH16 OTH17 OTH18 OTH19 OTH20 OTH21 OTH22 OTH23 OTH24
AREA DEM REP OTH4 OTH5 OTH6 OTH7 OTH8 OTH9 OTH10 OTH11 OTH12 OTH13 OTH14 OTH15 OTH16 OTH17 OTH18 OTH19 OTH20 OTH21 OTH22 OTH23 OTH24
AK-1 47.72 52.28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-1 34.2 65.8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-2 41.07 58.93 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-3 37.87 62.13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-4 23.09 76.91 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-5 36.55 63.45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-6 32.39 67.61 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-7 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AR-1 33.48 62.69 NA NA NA NA NA NA NA NA NA NA NA 3.84 NA NA NA NA NA NA NA NA NA
AR-2 44.7 52.51 NA NA NA NA NA NA NA NA NA NA NA 2.79 NA NA NA NA NA NA NA NA NA
AR-3 35.09 61.47 NA NA NA NA NA NA NA NA NA NA NA 3.44 NA NA NA NA NA NA NA NA NA
AR-4 34.04 62.04 NA NA NA NA NA NA NA NA NA NA NA 3.92 NA NA NA NA NA NA NA NA NA
AZ-1 54.27 45.73 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-2 55.27 44.73 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-3 69.59 30.41 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-4 33.48 62.58 NA NA NA 3.94 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-5 36.19 63.81 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-6 44.22 55.78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-7 86.75 NA NA NA NA 13.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-8 46.53 53.47 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-9 61.01 38.99 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-1 44.72 55.28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-10 52.08 47.92 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-11 78.61 21.39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-12 90.91 9.09 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-13 90.25 NA NA NA NA 9.75 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-14 83.64 16.36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-15 77.54 22.46 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
