AREA DEM REP OTH
AREA DEM REP OTH
WY-1 47265.84720794999 134082.19061073 11659.256391101
WV-2 63887.70971223999 127972.69028776 0
WV-1 52429.95643032 137274.67629540002 0
WI-8 0 217272.52715703004 53861.372842970006
WI-7 108493.80001642999 209941.26814006 0
WI-6 0 243400.8 0
WI-5 117005.18703918 235588.51296082002 0
WI-4 167942.327438 60618.9926827 0
WI-3 142213.17327616 161479.62672384 0
WI-2 218660.39278893 105206.72413742999 0
WI-1 115497.09681818001 171978.4886171 0
WA-9 152786.13790428 66323.06209572 0
WA-8 156859.28483918 146175.31516081997 0
WA-7 265509.79572495 47701.70427505 0
WA-6 168630.6977649 117818.60223509998 0
WA-5 113040.84062579 172457.85937421 0
WA-4 59919.24734636 122486.53441305998 0
WA-3 115520.11214666 149480.58785334 0
WA-2 182490.31671156 109744.48328844 0
WA-1 169904.67338825 107343.82661175002 0
WA-10 141894.65233935 94973.64766065 0
VT-1 159499.8663076 80774.402748 0
VA-9 58460.70215322 178958.39784678002 0
VA-8 167234.17530797998 60717.46099913999 0
VA-7 128594.59869591 120696.70130409 0
VA-6 81150.12021895999 165964.27978103998 0
VA-5 108918.66769419 162011.63230581 0
VA-4 147876.6756468 85620.1243532 0
VA-3 128848.15349065 68366.54650935 0
VA-2 123061.14994911998 123920.25005088 0
VA-1 110000.61929174999 175121.1399834 0
VA-11 173730.92942567996 85151.97057432 0
VA-10 145210.13480267 119038.76519733001 0
UT-4 77751.9771526 143941.31908709998 0
UT-3 78282.75813660001 158754.6044881 27099.663789000002
UT-2 78701.13776512 141343.24551906 21538.521547477998
UT-1 81798.27793456 169633.12206544 0
TX-9 102160.00441712 35129.09558288 0
TX-8 58123.147634780005 108976.32273892 0
TX-7 100138.14161287001 68542.75838713 0
TX-6 0 117226.4 0
TX-5 56226.54907476 110668.88032668002 0
TX-4 57906.092031270004 127540.88161059002 0
TX-38 77907.18844335 141654.00817655 0
TX-37 142070.63171060002 61390.07684127 0
TX-36 45913.908716909995 118991.99128309 0
TX-35 94645.01538612 42098.29828821 0
TX-34 45159.81951204 45461.288309274 0
TX-33 68315.878687662 26885.238074787998 0
TX-32 94005.52355677001 61581.57644323 0
TX-3 74569.20209456 127540.57967952 0
TX-31 0 151364.4 0
TX-30 106731.08217674 36913.85149914 6185.173815625
TX-29 61939.899338289 27655.670661711003 0
TX-28 64898.8879216 58243.1120784 0
TX-27 40880.747341689996 88413.95265831001 0
TX-26 0 147100.8739948 0
TX-25 0 142958.5 0
TX-24 93042.38590042999 152374.91409956999 0
TX-23 58643.441863260006 90533.58683892 0
TX-22 65689.10280675 121366.40712345 0
TX-2 62704.58611950001 122644.4138805 0
TX-21 90268.44329184 152092.35670816 0
TX-20 92788.25114897 54745.04885102999 0
TX-19 0 103125.369452 0
TX-18 90698.5384056 37183.67441697 4592.489826924
TX-17 51908.443745799996 100799.15625419999 0
TX-16 68848.2624375 36589.2375625 0
TX-15 50946.56116803 50117.1547239 0
TX-14 47663.25373752 111114.54626248 0
TX-13 39794.99468479 108645.12015922001 0
TX-12 64580.89065839999 129754.30934159999 0
TX-1 36933.10609041 121419.79390959001 0
TX-11 0 110779.4 0
TX-10 62403.557447130006 112290.77095336001 0
TN-9 114319.4347342 45730.77357928 6598.986687044001
TN-8 56829.39997875001 167829.18176151 8380.129911675
TN-7 69388.10756596 126211.56214108 0
TN-6 58805.997178499994 154401.48150074997 0
TN-5 91782.99766328001 123481.46232409001 7021.651126935
TN-4 48446.96610552 135507.75853439997 9118.067637167998
TN-3 61199.688647790004 155340.83233102 7933.383510668
TN-2 67557.63515256 162932.76484744 0
TN-1 36349.77913017 163812.32092368 7873.212428267999
SD-1 0 222564.52218000003 0
SC-7 82897.34376609 158049.75623390998 0
SC-6 127845.9894264 77426.21057360001 0
SC-5 76235.41467792001 149709.87111968 0
SC-4 0 188518.8 0
SC-3 0 188882.7 0
SC-2 88390.0888542 145691.9111458 0
SC-1 95989.34143851 146503.85676055998 0
RI-2 93356.49575424001 92014.15443600001 0
RI-1 106217.21730311999 50305.58269688 0
PA-9 74857.36019738 204592.73980262 0
PA-8 143098.93520201 139257.36479798998 0
PA-7 143849.37735195 146290.32264805 0
PA-6 173276.26255824 135080.53744176 0
PA-5 189193.2183738 113299.78162620001 0
PA-4 198958.74327536003 142482.45672464 0
PA-3 211209.83474948 0 0
PA-2 147924.01976562 60936.88023438 0
PA-17 176598.49272992 174446.30727008 0
PA-16 106795.00687842 189155.89312158 0
PA-15 75003.8765342 206089.1234658 0
