AREA DEM REP OTH4 OTH5 OTH6 OTH7 OTH8 OTH9 OTH10 OTH11 OTH12 OTH13 OTH14 OTH15 OTH16 OTH17 OTH18 OTH19 OTH20 OTH21 OTH22 OTH23 OTH24
AREA DEM REP OTH4 OTH5 OTH6 OTH7 OTH8 OTH9 OTH10 OTH11 OTH12 OTH13 OTH14 OTH15 OTH16 OTH17 OTH18 OTH19 OTH20 OTH21 OTH22 OTH23 OTH24
AK-1 48.35 51.65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-1 34.68 65.32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-2 33.51 66.49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-3 33.22 66.78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-4 19.99 80.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-5 32.77 67.23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-6 25.92 74.08 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AL-7 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AR-1 35.17 61 NA NA NA NA NA NA NA NA NA NA NA 3.84 NA NA NA NA NA NA NA NA NA
AR-2 44.48 52.73 NA NA NA NA NA NA NA NA NA NA NA 2.79 NA NA NA NA NA NA NA NA NA
AR-3 38.28 58.28 NA NA NA NA NA NA NA NA NA NA NA 3.44 NA NA NA NA NA NA NA NA NA
AR-4 36.48 59.61 NA NA NA NA NA NA NA NA NA NA NA 3.92 NA NA NA NA NA NA NA NA NA
AZ-1 52.12 47.88 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-2 54.38 45.62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-3 72.54 27.46 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-4 33.34 62.72 NA NA NA 3.94 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-5 35.61 64.39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-6 43.45 56.55 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-7 86.75 NA NA NA NA 13.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-8 44.03 55.97 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
AZ-9 59.67 40.33 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-1 38.52 61.48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-10 51.06 48.94 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-11 81.51 18.49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-12 92.56 7.44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-13 90.25 NA NA NA NA 9.75 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-14 85.64 14.36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CA-15 80.68 19.32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
