AREA DEM REP OTH
AREA DEM REP OTH
WY-1 90030.84355543999 169133.05644456 0
WV-3 68553.89975878 174063.50024122 0
WV-2 96624.69000030002 177934.2099997 0
WV-1 81328.74526908001 177682.49360679006 0
WI-8 162398.44421458 237669.75578542 0
WI-7 159884.57429385002 239890.32570615 0
WI-6 160854.90068016 239193.29931984 0
WI-5 170605.42602830997 262563.67397169 0
WI-4 284235.06961915997 43208.05414376 0
WI-3 223401.71560661003 169982.98439339 0
WI-2 335077.29915045004 92014.60084955001 0
WI-1 176029.9849116 218404.9150884 0
WA-9 259731.04129212 45428.058707879994 0
WA-8 225027.0970496 139030.5029504 0
WA-7 393581.905775 24272.077510839998 0
WA-6 257891.6753964 120894.3246036 0
WA-5 161831.48264129 194741.21735871 0
WA-4 103050.34700509999 163881.1529949 0
WA-3 175356.36681734 189995.73318265995 0
WA-2 267126.7378857 97129.4621143 0
WA-1 265838.0065956 117802.4934044 0
WA-10 165697.27899999998 0 0
VT-1 222697.36131 100849.58868649999 0
VA-9 0 253917.07886532 0
VA-8 335011.9598289 48824.50178745 0
VA-7 243879.76835775 181993.93164225 0
VA-6 145361.32424757 222805.77814341002 0
VA-5 200302.7541534 202699.2458466 0
VA-4 290162.50100459997 99051.5379168 0
VA-3 277081.26574128 66356.33425872 0
VA-2 188747.59437428 165552.38906763998 0
VA-1 194436.60910128002 213869.93492591998 0
VA-11 303029.8282914 68050.6717086 0
VA-10 252805.29285175996 174115.50714824 0
UT-4 150203.9391022 150711.38064008002 26424.060617356
UT-3 100656.08019284999 192367.35204569998 37287.1007925
UT-2 121640.37579215998 178395.14673341997 0
UT-1 122227.48009082003 200125.91990918 0
TX-9 184863.52151512 17665.480535824 7558.185343824
TX-8 57348.594917350005 249988.55656486002 0
TX-7 147044.3197275 134810.62018944 0
TX-6 137011.86249168002 165541.99919112003 0
TX-5 78525.70432554 174820.81386135 0
TX-4 62195.38576416 229996.43587582 0
TX-36 55493.29673614 215077.33324529004 10044.064406276
TX-35 170528.06913802002 52603.050487880006 7623.061913764001
TX-34 134555.86329252 55112.930571959994 6276.988500398001
TX-33 122878.99712226998 21071.801162649997 5171.506188749
TX-32 166800.43141919 136402.28178379 9838.168014566001
TX-3 154899.13736109997 183387.33048788 0
TX-31 140516.20249290002 174213.26537576 0
TX-30 214531.99388738003 20063.654067836 0
TX-29 120742.49963088 26850.984933780004 0
TX-28 141309.7152792 62438.919027359996 0
TX-27 89918.90063872 171086.94678708003 0
TX-26 102194.70881247001 230770.17646110003 0
TX-25 154356.08473206 182931.16656393 0
TX-24 148728.76828571 149314.37889195 12922.565260968002
TX-23 132727.36859904 120411.91784064 9943.921452816001
TX-22 161413.27737887 166206.94875007 0
TX-2 120133.70694912 179734.33029888 0
TX-21 180424.8346602 202750.32865230003 11621.844583439999
TX-20 170569.3130508 66590.8327252 7907.8468719600005
TX-19 47905.196453439996 201426.74666696 0
TX-18 197226.95521595998 23875.75444464 8137.699509016
TX-17 127447.80962232001 151781.88345955 0
TX-16 165312.06018549998 43280.195937059994 0
TX-15 135507.11653839 66453.09203682 0
TX-14 110696.61244571999 186599.68755428 0
TX-13 38873.34356696 214475.36413548 0
TX-12 88783.03662664 214807.11176627997 0
TX-1 64046.11564909001 225567.78435091 0
TX-11 45727.94611875 219552.1402795 0
TX-10 155415.38582815998 181928.14683629 10432.781246602
TN-9 214745.94271564 20950.918882042002 8717.73106988
TN-8 87815.73416565999 220659.92456467997 10866.95723679
