AREA DEM REP OTH
AREA Obama Romney OTH
AL 693933 1176394 13088
AK 111025 190889 10684
AZ 893524 1104294 14767
AR 469953 572898 12094
CA 6745485 5509826 166042
CO 1001732 1101255 26643
CT 857488 693826 27455
DE 200152 171660 3378
DC 202970 21256 3360
FL 3583544 3964522 61744
GA 1366149 1914254 21472
HI 231708 194191 3114
ID 181098 409235 8043
IL 2891550 2345946 36826
IN 969011 1479438 19553
IA 741898 751957 13053
KS 434993 736456 16307
KY 712733 1069439 13710
LA 820299 1102169 20638
ME 396842 330201 13709
MD 1334493 1024703 25035
MA 1803800 1071109 52546
MI 2479183 2313746 46323
MN 1445014 1346695 36678
MS 457766 672660 9398
MO 1259171 1455713 16480
MT 173710 266063 10661
NE 254328 512814 11044
NV 397190 418690 13707
NH 340511 331237 6539
NJ 1911430 1670003 30258
NM 370942 376930 8432
NY 4180755 2806993 460518
NC 1525849 1961166 13992
ND 111052 196651 5130
OH 2741165 2859764 26974
OK 503966 959792 0
OR 943163 866831 26788
PA 2938095 2793847 37648
RI 259760 169046 8328
SC 661669 937974 18057
SD 149244 232584 6387
TN 1036477 1384375 16467
TX 2832704 4526917 51128
UT 241199 663742 22903
VT 184067 121180 7062
VA 1454742 1716959 23714
WA 1510201 1304894 43989
WV 326541 423778 5473
WI 1489504 1478120 29383
WY 70776 167629 5456
