AREA DEM REP
AREA Biden Trump
WY 85266.9482436 180652.91619200003
WI 1785555.3465622 1509154.5085677998
WV 253151.99478240003 483394.07544960006
WA 2691896.8023405997 1639215.6021632
VA 2565601.1596922 1991288.3205348
VT 232502.88317400002 100610.439471
UT 565167.5333784 751678.16807
TX 5926574.2244742 6110641.0945932
TN 1184835.9274245 1632609.7853441997
SD 168134.9929322 238138.80879040004
SC 1102926.1925265 1283079.2536353
RI 322349.3816202 182691.6114243
PA 3555660.5004122 3237438.3767018
OR 1445733.0529025998 967172.4904116
OK 588960.3255787999 992097.7426486
OH 3038526.5704698996 3074854.2079313006
ND 139352.5291634 219066.1612748
NC 2873954.0015256 2773687.6965591996
NY 5413839.237186001 2954103.2610292
NM 543929.2633704 416458.3266348
NJ 2620104.724578 1729468.709244
NH 462143.336355 372626.34497999994
NV 712356.7172184 629099.116056
NE 375959.124608 544375.34912
NE-3 76404.6687032 217693.40346519998
NE-2 165203.1936415 154714.5019861
NE-1 134230.5836982 172123.62456240001
MT 303413.143187 345436.3926314
MO 1380852.1111770002 1672557.909339
MS 561581.404608 750739.46346
MN 1792024.161055 1489362.7277074999
MI 2946813.4811787005 2506999.4105102
MA 2438704.1005059998 1164702.3098412
MD 2009000.6944608 1039702.966512
ME 457647.0502947 359798.4750087
ME-2 196867.18376739998 190521.8372192
ME-1 260860.2498 169327.47474
LA 871217.9314524 1273242.5781579
KY 848258.4489296 1226349.5534904
KS 560201.8235088 734510.2036936
IA 824718.6000914 849731.2343118
IN 1360371.3929676 1693642.3461360002
IL 3604922.0390733997 2498242.1620043
ID 306017.7728884 485251.65953879996
HI 408667.22033130005 187037.95749539998
GA 2451711.090906 2405115.5690164
FL 5706729.017352001 5430299.332718399
DC 308940.2830256 18314.98726799
DE 310993.31010329997 183002.5957842
CT 1104464.8415658 673365.0710787
CO 1869982.4220524998 1468335.2921774997
CA 10109819.670843 5383361.363996901
AR 467146.34309410007 747636.6398227001
AZ 1575306.2709936 1494843.5030993999
AK 153961.9298976 183214.1225376
AL 925822.7879571 1393241.0100830998
