AREA DEM REP
AREA Clinton Trump
FL 1.3 0
PA 4.4 0
MI 0.0 0
NC 2.1 0
VA 7.7 0
CO 5.0 0
OH -0.1 0
WI 3.9 0
MN -0.1 0
NV 5.9 0
AZ -3.3 0
NM 9.6 0
NH 1.0 0
GA -1.4 0
IA -3.9 0
ME 11.0 0
NJ 21.8 0
OR 11.9 0
TX -9.5 0
IL 18.9 0
SC -7.5 0
UT -6.1 0
MO -8.4 0
IN -14.3 0
WA 15.5 0
KY -26.5 0
NY 16.0 0
CA 28.6 0
AK -7.4 0
RI 14.4 0
NE-2 -1.8 0
ME-2 0.4 0
CT 12.7 0
DE 12.5 0
SD -15.5 0
ME-1 13.9 0
TN -12.0 0
KS -12.5 0
MS -13.1 0
MT -15.0 0
NE-1 -15.5 0
LA -16.1 0
NE -17.8 0
ID -19.6 0
AR -20.7 0
AL -22.3 0
ND -23.1 0
MA 23.4 0
HI 23.7 0
MD 25.7 0
OK -26.0 0
WV -26.5 0
VT 27.4 0
WY -35.0 0
NE-3 -36.1 0
DC 70.5 0
