AREA REP DEM
AREA Bush Kerry
AL 58.1 40.5
AK 57.8 38.8
AZ 52.8 46.7
AR 52.9 46.1
CA 43.4 54.6
CO 49.9 48.1
CT 40.9 57.7
DC 8.2 89.8
DE 40.7 57.3
FL 49.8 49.7
GA 56.6 42.9
HI 46.7 53.3
ID 65.7 32.9
IL 42.4 56.6
IN 58.4 40.6
IA 48.4 49.7
KS 64.5 34.1
KY 58.4 40.2
LA 54.7 43.9
ME 44.3 53.8
MD 42.3 56.2
MA 32.9 65.2
MI 46.5 51.5
MN 44.5 53.5
MS 56.5 43
MO 52 47
MT 58 37.5
NE 62.5 36
NV 47.9 49.2
NH 44.1 54.9
NJ 46.2 52.8
NM 47.5 50.1
NY 40.9 58.2
NC 56.5 42.7
ND 64.4 32.6
OH 47.9 52.1
OK 65 34.6
OR 47.9 50.3
PA 45.4 54.1
RI 34.9 62.7
SC 53.4 45.1
SD 61 36.5
TN 58 40.6
TX 62.2 36.3
UT 68.1 29.1
VT 33.3 63.7
VA 54.1 45.4
WA 44 54.1
WV 54 44.5
WI 48.8 49.2
WY 65.5 30.9
NATIONAL 48.2 50.8
