AREA DEM REP
AREA Clinton Trump
FL 0.7 0
PA 3.7 0
MI 4.2 0
NC 0.7 0
VA 5.6 0
CO 4.0 0
OH -1.9 0
WI 5.3 0
MN 5.8 0
NV 1.2 0
AZ -2.2 0
NM 5.8 0
NH 3.6 0
GA -4.0 0
IA -2.9 0
ME 7.4 0
NJ 11.5 0
OR 9.2 0
TX -8.6 0
AK -7.4 0
RI 14.4 0
IL 12.9 0
SC -7.0 0
NE-2 -1.8 0
ME-2 0.4 0
CT 12.7 0
DE 12.5 0
SD -15.5 0
UT -10.5 0
ME-1 13.9 0
MO -10.1 0
IN -11.6 0
TN -12.0 0
KS -12.5 0
MS -13.1 0
WA 13.3 0
MT -15.0 0
NE-1 -15.5 0
LA -16.1 0
NE -17.8 0
KY -18.2 0
NY 19.0 0
ID -19.6 0
AR -20.7 0
AL -22.3 0
CA 22.9 0
ND -23.1 0
MA 23.4 0
HI 23.7 0
MD 25.7 0
OK -26.0 0
WV -26.5 0
VT 27.4 0
WY -35.0 0
NE-3 -36.1 0
DC 70.5 0
