AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL 920478 1392076 3891 0 0 0 0
AK 146068 191112 17407 0 0 0 0
AZ 1716467 1637661 765 0 0 0 0
AR 0 793871 399390 0 0 0 0
CO 1731114 1429492 75184 0 0 0 0
DE 291804 186054 13077 0 0 0 0
GA 2269262 2213979 0 0 0 0 0
ID 285864 538446 35517 0 0 0 0
IL 3278930 2319870 370101 0 0 0 0
IA 754859 864997 51972 864 27438 0 0
KS 571530 727962 68263 0 0 0 0
KY 816257 1233315 85485 0 0 0 0
LA 394049 1228908 73263 0 0 0 0
ME 347223 417645 54315 0 0 9122 0
MA 2357809 1177765 28562 0 0 93869 0
MI 2734568 2642233 102919 0 0 0 0
MN 1566522 1398145 249589 0 0 0 0
MS 578691 709511 23152 0 0 0 0
MT 272463 333174 0 0 0 0 0
NE 227191 583507 119314 0 0 0 0
NH 450778 326229 18907 0 0 0 0
NJ 2541178 1817052 82210 0 0 0 0
NM 474483 418483 24271 0 0 0 0
NC 2569965 2665598 239389 0 0 0 0
OK 509763 979140 67458 0 0 0 0
OR 1321047 912814 87388 0 0 0 0
RI 328574 164855 833 0 0 0 0
SC 1110828 1369137 35139 0 0 0 0
SD 143987 276232 0 0 0 0 0
TN 1040691 1840926 78144 0 0 0 0
TX 4888764 5962983 292293 0 0 0 0
VA 2466500 1934199 4388 0 0 0 0
WV 210309 547454 21155 0 0 0 0
WY 0 0 271937 165 6401 0 0
GA-2 2288446 2194848 0 0 0 0 0
