AREA DEM REP OTH
AREA DEM REP OTH
AK 0 185343 27565
AL 435431 940054 32793
AR 277790 590146 28591
AZ 1302144 1177020 52827
CA 4723676 3078058 0
CO 1371102 1018885 69893
CT 726728 535846 0
FL 3200581 4474402 81358
GA 1942718 1906764 81231
HI 289585 105704 11161
IA 532832 681224 0
ID 169809 358539 62536
IL 2248441 1683555 69543
IN 702873 1088428 63750
KS 365797 595303 29168
KY 563676 911587 0
LA 246775 851137 284519
MD 1112813 635780 0
MO 868875 1143636 49254
NC 1760496 1892640 80201
ND 59804 135076 44305
NH 331995 275290 12430
NV 491404 483482 31458
NY 3194713 2444510 25750
OH 1883223 2147898 0
OK 368979 739298 41336
OR 1018519 743469 54817
PA 2713651 2474786 128680
SC 627616 1066274 0
SD 90996 242282 14695
UT 0 540981 461730
VT 195421 80237 9452
WA 1595383 1193534 0
WI 1310429 1336878 0
