AREA DEM REP OTH
AREA DEM REP OTH
WI 1182474.9167808 1267978.0832192 0
WA 1447357.4530548 1238920.5469452 0
VT 155249.68266258 88318.89268256 13491.624654860001
UT 0 517214.58478144 84519.83934284799
SD 101811.81744236998 199319.46192732 0
SC 635940.9755192 1032307.0244808 0
PA 2383136.5051841 2359515.6693554 96989.01904613999
OR 930078.3721812 661394.6247807 57870.052518389995
OK 425708.85081559996 728830.0681907999 31449.033554079997
OK 444648.549098 677554.7171848001 28790.710697319995
OH 1981739.0613058 2206069.9386942 0
NY 3408369.5558388 2355196.1906242003 0
NV 496815.54722939996 503370.32862270006 26035.17545895
NH 324102.02303311997 303957.44142608007 0
ND 61571.5435431 169781.05540075002 0
NC 1580492.8214115 1695236.5892436001 58323.82272861
MO 845111.1863010001 1083995.0951653998 45731.777778740005
MD 1199305.892487 705164.1075129999 0
LA 124256.53928408 549794.5526780001 71408.7540831
KY 555921.6177028 887860.3822971999 0
KS 367171.83871082 575817.8044933601 0
IN 881447.4097065 1149822.4817559998 0
IL 2309743.2177048 1700865.2490420002 0
ID 158978.88043768003 381655.17638521007 39057.872161705
IA 547272.5666256 700865.4333744 0
HI 269212.84661768 120459.28958368 18890.42294238
GA 1680504.3143497 1679554.4089835 0
FL 3283730.120538 3861200.9677095003 134097.9117525
CT 722363.7050727 539989.2949273 0
CO 1194441.3957216002 1021528.6264536001 67174.11481344
CA 6484446.12 4115553.88 0
AZ 1192670.7764085 1140522.7136837998 0
AR 299496.83443560003 548071.44054939 0
AL 507898.58994 965238.828645 0
AK 54860.0485248 88581.54232467 0
