AREA DEM REP OTH
AREA DEM REP OTH
WY 86384.69650118 181049.50349882004 0
WV 293936.33112972 490026.23632451997 0
VA 2456092.7665624004 1690253.9579148998 76466.19106644
TX 4662049.86 5413081.57 224868.87900000002
TN 1017641.1373662001 1654993.8308664 106459.05955834
SD 154222.83004804 250521.76995195996 0
SC 1134240.5380523999 1257892.3081348 0
RI 355969.53428856 124953.26571143999 0
OR 1258416.7566399998 749430.5484991999 80256.6948608
OK 603423.0931092 962175.8086110001 45515.13050208001
NM 488443.73434799997 373698.82337888004 0
NJ 2503607.8227594 1465680.9030570001 98894.23350177
NH 454995.02573448 320664.01522344 0
NE 271048.38506061 554333.03521029 0
NC 2639255.7716638 2474963.5226523997 113206.81023232
MT 281848.46461424994 300841.23538574995 0
MS 621578.3335650001 748778.729643 0
MN 1704158.0033984 1321000.3983352 85245.66047448
MI 2732154.8883465 2366148.7219725 125311.1807364
ME 419466.9428861 403705.65711390006 0
MA 2245247.6159085 1077097.2793455 96140.2414854
LA 331169.356333 899703.159154 142444.56488664998
KY 912722.1467232 1190640.7912608 0
KS 599713.4645658 676146.6540270001 0
IL 3492302.1399133997 2084869.3720876 296914.7817033
ID 263253.63858284004 443426.59897982003 48817.077547286004
IA 826118.4971368 850075.6378226 39183.81357926
GA-2 1480646.36706 992294.652726 831085.121295
GA 2271245.8944364 2283983.2717422 0
DE 301105.99029216 155871.1110648 13869.331602288
CO 1528486.400784 1301662.4328085 128786.43271164998
AZ 1541114.460534 1388130.539466 0
AR 0 843818.0594463999 0
AL 1067827.075937 1275542.924063 0
AK 158166.57795106003 178539.93942134 17827.403899634002
