AREA DEM REP OTH
AREA DEM REP OTH
WI 1185264.2674307001 1265188.7325692999 0
WA 1434132.1005774 1252145.8994226 0
VT 155520.46987726 88048.13117390001 13491.624654860001
UT 0 497755.91022976 84519.83934284799
SD 106377.81444800999 194753.46492168 0
SC 671570.0817048001 996677.9182951999 0
PA 2386770.1076469 2355882.0668926 96989.01904613999
OR 929702.9817144 661769.8503132 57870.052518389995
OK 447914.9343312 706623.9846752 31449.033554079997
OK 465089.1666434 657114.0996393999 28790.710697319995
OH 1987793.3767771 2200015.6232229 0
NY 3381344.82987 2382220.916593 0
NV 494797.68887710007 505388.1869750001 26035.17545895
NH 323147.64866192004 304911.81579728005 0
ND 65113.728879070004 166238.87006478 0
NC 1581549.7162125001 1694179.3610373 58323.82272861
MO 861644.7275208001 1067461.5539456 45731.777778740005
MD 1154431.437218 750038.562782 0
LA 110417.47238998002 589506.5684578 71408.7540831
KY 584704.5668984001 859077.4331015999 0
KS 372145.88271718 570843.85760974 0
IN 922457.209583 1108812.89142 0
IL 2308494.6422508 1702113.824496 0
ID 147951.74923912002 392682.30758377 39057.872161705
IA 560457.5220162 687680.4779838 0
HI 268065.11256176 121607.06449586 18890.42294238
GA 1682035.8918461 1678023.1724438 0
FL 3272576.4644013 3872354.6238462003 134097.9117525
CT 718944.2432663001 543408.7567336999 0
CO 1198015.6576536 1017954.1362072 67174.11481344
CA 6398701.66 4201298.34 0
AZ 1193529.1162259 1139664.6113705 0
AR 311665.26919689 535903.09384329 0
AL 527913.9934950001 945223.42509 0
AK 36523.76631417 97374.98099979 0
